                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.60565,                 1.1239,                 1.1513,                0.74278,                0.62555,                0.69519,                0.58372,                0.62883,                 1.1038,                 1.1235,               0.007756,               0.007756,               0.007756
                     36,                0.59657,                 1.0958,                 1.1456,                0.74654,                0.63488,                0.70072,                0.59065,                0.61992,                  1.076,                 1.1178,                0.00769,                0.00769,                0.00769
                     37,                0.59044,                 1.0802,                 1.1396,                0.74558,                0.63835,                0.70049,                 0.5887,                0.62135,                 1.0829,                 1.1164,               0.007624,               0.007624,               0.007624
                     38,                0.59498,                 1.0654,                 1.1427,                0.73628,                0.63032,                0.69366,                0.58595,                0.61957,                  1.087,                 1.1231,               0.007558,               0.007558,               0.007558
                     39,                0.58887,                 1.0688,                 1.1386,                0.74514,                0.63147,                0.69222,                0.58574,                0.61881,                 1.0803,                 1.1227,               0.007492,               0.007492,               0.007492
                     40,                0.58724,                 1.0503,                 1.1359,                0.74615,                0.63986,                0.70268,                0.59645,                0.60799,                 1.0531,                 1.1096,               0.007426,               0.007426,               0.007426
                     41,                0.58829,                 1.0434,                 1.1339,                0.76738,                0.62555,                0.70409,                0.59683,                0.61217,                 1.0568,                 1.1179,                0.00736,                0.00736,                0.00736
                     42,                0.58189,                 1.0339,                 1.1343,                0.75707,                0.64374,                0.71251,                0.60288,                0.61357,                 1.0401,                 1.1194,               0.007294,               0.007294,               0.007294
                     43,                0.57814,                 1.0165,                 1.1311,                0.75308,                0.63821,                0.70992,                0.59957,                0.60671,                 1.0437,                 1.1116,               0.007228,               0.007228,               0.007228
                     44,                0.57587,                 1.0037,                 1.1289,                0.74815,                0.64377,                0.71256,                0.60472,                0.60707,                 1.0381,                 1.1176,               0.007162,               0.007162,               0.007162
                     45,                0.57547,                0.99421,                 1.1231,                0.79218,                0.62382,                0.71171,                0.60468,                0.60236,                 1.0387,                   1.11,               0.007096,               0.007096,               0.007096
                     46,                 0.5742,                0.99371,                 1.1252,                0.76474,                0.65091,                0.71731,                0.61066,                0.59656,                 1.0363,                 1.1059,                0.00703,                0.00703,                0.00703
                     47,                0.57034,                 0.9687,                 1.1227,                 0.7822,                0.64719,                0.72035,                0.61425,                0.58825,                 1.0316,                 1.0993,               0.006964,               0.006964,               0.006964
                     48,                0.56073,                0.96848,                 1.1175,                0.77942,                0.64657,                0.72241,                0.61312,                0.59131,                 1.0235,                 1.0989,               0.006898,               0.006898,               0.006898
                     49,                0.56836,                0.96561,                  1.121,                 0.8007,                0.62839,                0.72361,                0.61541,                0.59182,                 1.0198,                 1.0995,               0.006832,               0.006832,               0.006832
                     50,                0.56037,                0.94604,                   1.12,                0.77429,                0.64473,                0.72223,                0.61561,                0.59292,                 1.0059,                 1.1058,               0.006766,               0.006766,               0.006766
                     51,                0.56058,                0.94608,                 1.1187,                0.78268,                0.64617,                0.72107,                0.61534,                 0.5954,                 1.0035,                 1.1085,                 0.0067,                 0.0067,                 0.0067
                     52,                0.55531,                0.93937,                 1.1127,                0.79952,                0.63655,                0.72615,                0.62295,                 0.5853,                0.99349,                 1.0943,               0.006634,               0.006634,               0.006634
                     53,                0.55783,                0.94152,                 1.1121,                0.79337,                0.63881,                 0.7281,                0.62353,                0.58601,                0.99259,                 1.0957,               0.006568,               0.006568,               0.006568
                     54,                0.55081,                  0.927,                 1.1096,                 0.7788,                0.65725,                 0.7296,                 0.6236,                0.58247,                0.99062,                 1.0905,               0.006502,               0.006502,               0.006502
                     55,                0.54987,                0.90377,                 1.1076,                0.76052,                0.66997,                0.72742,                0.62394,                0.58327,                0.98887,                 1.0937,               0.006436,               0.006436,               0.006436
                     56,                0.54208,                0.88735,                 1.1014,                0.77019,                0.65932,                0.72795,                0.62422,                0.58112,                0.98994,                 1.0911,                0.00637,                0.00637,                0.00637
                     57,                0.54315,                0.88897,                 1.1007,                0.77336,                0.66238,                0.73036,                0.62674,                 0.5798,                0.98753,                 1.0911,               0.006304,               0.006304,               0.006304
                     58,                0.54227,                0.89052,                 1.1038,                0.77632,                0.66078,                0.73038,                0.62894,                0.57297,                0.98506,                 1.0825,               0.006238,               0.006238,               0.006238
                     59,                0.54105,                0.88391,                 1.1023,                0.77076,                0.66445,                0.73238,                0.63071,                0.57227,                0.98359,                 1.0811,               0.006172,               0.006172,               0.006172
                     60,                0.53796,                0.87135,                 1.1007,                0.78192,                0.66029,                0.73459,                0.63298,                0.57137,                0.98601,                 1.0801,               0.006106,               0.006106,               0.006106
                     61,                0.53734,                0.85983,                 1.0981,                0.77862,                0.66759,                0.73383,                0.63243,                0.57429,                0.98474,                 1.0845,                0.00604,                0.00604,                0.00604
                     62,                0.53328,                0.85919,                 1.0957,                0.78223,                0.66681,                0.73472,                0.63351,                0.57206,                0.98071,                 1.0848,               0.005974,               0.005974,               0.005974
                     63,                0.53209,                0.84253,                 1.0949,                0.78877,                 0.6633,                0.73453,                0.63206,                0.56973,                0.97776,                 1.0841,               0.005908,               0.005908,               0.005908
                     64,                0.52721,                0.83868,                 1.0915,                0.77152,                 0.6749,                0.73585,                0.63348,                0.56972,                0.97889,                 1.0868,               0.005842,               0.005842,               0.005842
                     65,                0.53027,                0.83189,                 1.0919,                0.79706,                0.65637,                0.73513,                0.63269,                0.57014,                 0.9772,                 1.0858,               0.005776,               0.005776,               0.005776
                     66,                0.52551,                0.82604,                 1.0896,                 0.7854,                0.67211,                0.73588,                0.63269,                0.56911,                0.97794,                 1.0848,                0.00571,                0.00571,                0.00571
                     67,                0.52305,                0.81104,                 1.0879,                0.79355,                0.66588,                0.73488,                0.63332,                0.56899,                0.97814,                  1.086,               0.005644,               0.005644,               0.005644
                     68,                0.52208,                0.81425,                 1.0892,                0.79514,                0.66619,                0.73385,                0.63234,                0.56912,                 0.9804,                 1.0855,               0.005578,               0.005578,               0.005578
                     69,                0.51911,                0.79556,                 1.0825,                0.78431,                0.66811,                0.73387,                0.63215,                0.56769,                0.97776,                 1.0852,               0.005512,               0.005512,               0.005512
                     70,                0.51818,                0.79584,                  1.084,                0.78262,                0.66802,                0.73428,                0.63435,                0.56628,                0.97588,                 1.0854,               0.005446,               0.005446,               0.005446
                     71,                0.51368,                0.78899,                 1.0805,                0.79164,                0.66484,                0.73563,                0.63591,                0.56394,                0.97437,                 1.0834,                0.00538,                0.00538,                0.00538
                     72,                0.51615,                0.79688,                 1.0825,                0.79264,                0.66509,                0.73682,                0.63666,                0.56095,                0.97407,                 1.0807,               0.005314,               0.005314,               0.005314
                     73,                0.51143,                0.78803,                 1.0821,                0.78764,                 0.6713,                0.73649,                0.63678,                0.56113,                0.97362,                 1.0807,               0.005248,               0.005248,               0.005248
                     74,                0.50947,                0.77558,                 1.0783,                  0.796,                0.66235,                0.73725,                0.63731,                0.55854,                0.97294,                 1.0785,               0.005182,               0.005182,               0.005182
                     75,                0.51206,                0.76872,                 1.0793,                0.78865,                0.67007,                0.73735,                0.63838,                0.55977,                0.97117,                 1.0801,               0.005116,               0.005116,               0.005116
                     76,                0.50829,                 0.7709,                 1.0761,                0.77869,                0.67887,                0.73816,                0.63924,                0.56139,                0.96972,                 1.0824,                0.00505,                0.00505,                0.00505
                     77,                0.50886,                 0.7591,                 1.0743,                0.78993,                0.66972,                0.73832,                0.63899,                0.56302,                0.97054,                 1.0843,               0.004984,               0.004984,               0.004984
                     78,                0.50251,                0.75265,                 1.0756,                0.79722,                0.66708,                0.73954,                0.64036,                0.56182,                0.96895,                 1.0831,               0.004918,               0.004918,               0.004918
                     79,                0.50192,                0.75413,                 1.0761,                0.78841,                0.67358,                0.73978,                0.64077,                0.56048,                0.96926,                 1.0816,               0.004852,               0.004852,               0.004852
